lag_days,model,best_cv_f1,best_params
0,svc,0.6920763913050252,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
3,svc,0.6919623999617466,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
2,svc,0.6900971450285931,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
1,svc,0.6872757662559608,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
3,logreg,0.686741459173091,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
0,logreg,0.6805652457268223,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'saga'}"
1,logreg,0.6778713784059526,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
2,logreg,0.6767195180825663,"{'clf__C': 1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
0,gb,0.673985687553311,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}"
1,gb,0.6733237938775336,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}"
3,rf,0.6722169675750491,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}"
0,rf,0.6721284968696827,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}"
3,gb,0.6718286814078154,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}"
2,gb,0.6711779520068455,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}"
2,rf,0.670969547844344,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
1,rf,0.6699221959961482,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}"
