lag_days,model,cv_f1_mean,cv_f1_std
0,allways_false,0.0,0.0
0,logreg,0.679925540974408,0.019244987606059277
0,svc,0.6747332790738445,0.021779173493779867
0,rf,0.6230833007256822,0.016892062834705075
0,gb,0.6718080808320386,0.02244450664212699
1,allways_false,0.0,0.0
1,logreg,0.6770147881827006,0.01326118516947042
1,svc,0.6733253798621744,0.013543222563181863
1,rf,0.643927491455329,0.013163958429649056
1,gb,0.6696946506648752,0.009562658869913313
2,allways_false,0.0,0.0
2,logreg,0.675938704816823,0.012794230656716076
2,svc,0.6691114326924702,0.01011199347872065
2,rf,0.6529031924894136,0.013415208322572618
2,gb,0.6707111318768908,0.006810591002977308
3,allways_false,0.0,0.0
3,logreg,0.6844096212654524,0.01130893254480683
3,svc,0.6731452491433462,0.0067017876200365775
3,rf,0.6534866548904794,0.008519497070879819
3,gb,0.6691805179748117,0.013979101573817824
4,allways_false,0.0,0.0
4,logreg,0.6826379615434375,0.006955721938722481
4,svc,0.6690922236795234,0.012221460449479056
4,rf,0.6536253564678215,0.010363866330306509
4,gb,0.6716004739080528,0.010384588729266585
5,allways_false,0.0,0.0
5,logreg,0.6837744809823889,0.005280485203835214
5,svc,0.6748121666811705,0.010060926088476184
5,rf,0.6594106505139481,0.010590558733763585
5,gb,0.6748973381155923,0.0027051186411099063
6,allways_false,0.0,0.0
6,logreg,0.6772055483573192,0.012547461161104483
6,svc,0.6649824014513575,0.010304377554665496
6,rf,0.6537624914092688,0.014181286072498026
6,gb,0.6675414352349575,0.011197110138958393
