model,threshold,roc_auc,pr_auc,f1,accuracy,log_loss
svc test,0.0,0.8513994889331764,0.8127857523275186,0.6302461899179367,0.46011639849366653,0.5461262988448591
svc test,0.05,0.8513994889331764,0.8127857523275186,0.6962962962962963,0.6069839096199932,0.5461262988448591
svc test,0.15000000000000002,0.8513994889331764,0.8127857523275186,0.7598978288633461,0.7425539198904485,0.5461262988448591
svc test,0.1,0.8513994889331764,0.8127857523275186,0.7397747480735033,0.6994180075316673,0.5461262988448591
svc test,0.30000000000000004,0.8513994889331764,0.8127857523275186,0.7624350408314774,0.780896953098254,0.5461262988448591
svc test,0.35000000000000003,0.8513994889331764,0.8127857523275186,0.7482517482517482,0.7781581650119822,0.5461262988448591
svc test,0.25,0.8513994889331764,0.8127857523275186,0.7666666666666667,0.7747346799041425,0.5461262988448591
svc test,0.2,0.8513994889331764,0.8127857523275186,0.7701612903225806,0.765833618623759,0.5461262988448591
svc test,0.8,0.8513994889331764,0.8127857523275186,0.01915991156963891,0.5443341321465252,0.5461262988448591
svc test,0.8500000000000001,0.8513994889331764,0.8127857523275186,0.0,0.5398836015063334,0.5461262988448591
svc test,0.9500000000000001,0.8513994889331764,0.8127857523275186,0.0,0.5398836015063334,0.5461262988448591
svc test,0.9,0.8513994889331764,0.8127857523275186,0.0,0.5398836015063334,0.5461262988448591
svc test,0.5,0.8513994889331764,0.8127857523275186,0.6799822458943631,0.7531667237247518,0.5461262988448591
svc test,0.55,0.8513994889331764,0.8127857523275186,0.6252354048964218,0.7274905854159535,0.5461262988448591
svc test,0.45,0.8513994889331764,0.8127857523275186,0.7100340136054422,0.7665183156453269,0.5461262988448591
svc test,0.4,0.8513994889331764,0.8127857523275186,0.7306753458096013,0.7733652858610065,0.5461262988448591
svc test,0.7000000000000001,0.8513994889331764,0.8127857523275186,0.2703727100442198,0.6045874700445053,0.5461262988448591
svc test,0.75,0.8513994889331764,0.8127857523275186,0.09859154929577464,0.561793906196508,0.5461262988448591
svc test,0.65,0.8513994889331764,0.8127857523275186,0.4388888888888889,0.6542280041081822,0.5461262988448591
svc test,0.6000000000000001,0.8513994889331764,0.8127857523275186,0.5533636823469904,0.6977062649777473,0.5461262988448591
svc train,0.15000000000000002,0.8413904038558588,0.672290266752313,0.6292435689012145,0.6680934851468197,0.4480880437960498
svc train,0.1,0.8413904038558588,0.672290266752313,0.5994949055124967,0.6062837085865936,0.4480880437960498
svc train,0.0,0.8413904038558588,0.672290266752313,0.4738698719623726,0.31050423765088603,0.4480880437960498
svc train,0.05,0.8413904038558588,0.672290266752313,0.5409811320754717,0.4793254002225837,0.4480880437960498
svc train,0.55,0.8413904038558588,0.672290266752313,0.6255598686174978,0.7852923551065834,0.4480880437960498
svc train,0.5,0.8413904038558588,0.672290266752313,0.6493470018255862,0.7862340553034843,0.4480880437960498
svc train,0.4,0.8413904038558588,0.672290266752313,0.6777227722772278,0.7770738806609023,0.4480880437960498
svc train,0.45,0.8413904038558588,0.672290266752313,0.6698927543813759,0.7839226093656365,0.4480880437960498
svc train,0.25,0.8413904038558588,0.672290266752313,0.662153449387492,0.7308449619039465,0.4480880437960498
svc train,0.2,0.8413904038558588,0.672290266752313,0.648962148962149,0.7046485746083383,0.4480880437960498
svc train,0.30000000000000004,0.8413904038558588,0.672290266752313,0.6678651685393259,0.7469394743600719,0.4480880437960498
svc train,0.35000000000000003,0.8413904038558588,0.672290266752313,0.6743529411764706,0.7630339868161973,0.4480880437960498
svc train,0.75,0.8413904038558588,0.672290266752313,0.13959327140346472,0.7066175841109494,0.4480880437960498
svc train,0.7000000000000001,0.8413904038558588,0.672290266752313,0.29946761313220943,0.729646434380618,0.4480880437960498
svc train,0.6000000000000001,0.8413904038558588,0.672290266752313,0.5755301794453508,0.7772450988785207,0.4480880437960498
svc train,0.65,0.8413904038558588,0.672290266752313,0.47406015037593985,0.7604657135519219,0.4480880437960498
svc train,0.8500000000000001,0.8413904038558588,0.672290266752313,0.0022026431718061676,0.6897525896755414,0.4480880437960498
svc train,0.8,0.8413904038558588,0.672290266752313,0.030294833648904517,0.6930913449190994,0.4480880437960498
svc train,0.9,0.8413904038558588,0.672290266752313,0.0,0.6894957623491139,0.4480880437960498
svc train,0.9500000000000001,0.8413904038558588,0.672290266752313,0.0,0.6894957623491139,0.4480880437960498
