lag_days,model,best_cv_f1,best_params
7,svc,0.6906054133148003,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
6,svc,0.689632759982912,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}"
7,logreg,0.6800263891514542,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
6,logreg,0.6783201202869726,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
7,gb,0.6753688475674675,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}"
7,rf,0.671918863435635,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}"
6,gb,0.6688424349982356,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}"
6,rf,0.6659019652612621,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}"
