model,roc_auc,pr_auc,f1,accuracy,log_loss
svc train,0.8385539928016297,0.7009889483848563,0.6782259077773589,0.7808301240907146,0.4655115798630762
svc test,0.8250008348848276,0.6745650449266479,0.6575619625695498,0.768309377138946,0.48142878426541824
